dataset_name,question,expected_answer,generated_answer,precision_at_k,accuracy,grounding_score,response_time,chunk_size,top_k,embedding_provider,chunking_strategy,retrieval_mode,reranker,retrieval_method,chunk_overlap,num_chunks,success
local,What is a sequential game?,A sequential game is a game where players move in turns and each player knows the moves of previous players.,"Review
• Understanding the outcomes of games
• Sometimes easy
– Dominant strategies
• Sometimes more challenging
– “I know that you know …”
• What if a game is sequential?
– Market entry
2
Commitment
• Consider the following (normal-form) game:
2, 1 4, 0
1, 0 3, 1
• How should this game be played?
• Now suppose the game is played as follows:
– Player 1 commits to playing one of the rows,
– Player 2 observes the commitment and then chooses a
column
ment and then chooses a
column
• What is the optimal strategy for player 1?
• What if 1 can commit to a mixed strategy?",0.0,0.1609,1.0,0.0027,300,3,mock,recursive,hybrid,heuristic,hybrid+rerank:heuristic,30,65,True
local,What is the definition of a Nash equilibrium?,A Nash equilibrium is a strategy profile where no player can improve their payoff by unilaterally changing their strategy.,") game tree, together with the
remainder of the game after that node is reached, is called a subgame
•
A strategy profile is a subgame perfect equilibrium if it is an equilibrium
for every subgame
LR
3, 2 1, 0
3, 2 0, 1
*L
*R
*L
*R
1, 0
0, 1
**
*L
*R
• (RR, LL) and (LR, LR) are not subgame
Review
• Understanding the outcomes of games
• Sometimes easy
– Dominant strategies
• Sometimes more challenging
– “I know that you know …”
• What if a game is sequential?
– Market entry
2
If the competitor enters, the
monopolist must either accommodate the entry or fight. If the
monopolist accommodates, both firms earn $5M. If the monopolist
fights, both firms lose $5M. The game is represented by the
following tree
What is the rollback equilibrium of
the above game?",0.0,0.1188,1.0,0.0019,300,3,mock,recursive,hybrid,heuristic,hybrid+rerank:heuristic,30,65,True
local,What are the types of games based on information structure?,Games can be classified into perfect information games and imperfect information games based on what players know about previous moves.,"Subgame perfection and
imperfect information…
Player 1
Player 2
Player 2
4, 1
0, 0
5, 1
1, 0
•
One of the Nash equilibria is: (R, RR)
•
Also subgame perfect (the only subgames are the whole game, and the
subgame after Player 1 moves Right)
•
Review
• Understanding the outcomes of games
• Sometimes easy
– Dominant strategies
• Sometimes more challenging
– “I know that you know …”
• What if a game is sequential?
– Market entry
2
Subgame perfection and
imperfect information
Player 1
Player 2
Player 2
1, -1
-1, 1
-1, 1
1, -1
• How should we extend the notion of subgame perfection
to games of imperfect information?
•
We cannot expect Player 2 to play Right after Player 1 plays Left, and",0.0,0.1556,1.0,0.0019,300,3,mock,recursive,hybrid,heuristic,hybrid+rerank:heuristic,30,65,True
local,How is a game represented in normal form?,"A game in normal form is represented as a matrix showing all players, their available strategies, and payoffs for each strategy combination.","Commitment
• Consider the following (normal-form) game:
2, 1 4, 0
1, 0 3, 1
• How should this game be played?
• Now suppose the game is played as follows:
– Player 1 commits to playing one of the rows,
– Player 2 observes the commitment and then chooses a
column
Conversion from extensive to
normal form
Player 1
Player 2
Player 2
3, 2
2, 3
4, 1
• Nash equilibria of this
normal-form game
include (R, LL), (R, RL),
(L, RR) + infinitely many
mixed-strategy equilibria
• In general, normal form
can have exponentially
many strategies
0, 1
3, 2
3, 2
2, 3
2, 3
4, 1
Computing equilibria in the
extensive form
• Can just use normal-form representation
– Misses issues of subgame perfection, etc.
• Another problem: there are exponentially many
pure strategies, so normal form is exponentially
larger
– Even given polynomial-time algorithms for normal form,",0.0,0.1818,1.0,0.0019,300,3,mock,recursive,hybrid,heuristic,hybrid+rerank:heuristic,30,65,True
local,What is game theory?,Game theory is a mathematical framework for analyzing strategic interactions between rational decision-makers called players.,"If the competitor enters, the
monopolist must either accommodate the entry or fight. If the
monopolist accommodates, both firms earn $5M. If the monopolist
fights, both firms lose $5M. The game is represented by the
following tree
What is the rollback equilibrium of
the above game?
Review
• Understanding the outcomes of games
• Sometimes easy
– Dominant strategies
• Sometimes more challenging
– “I know that you know …”
• What if a game is sequential?
– Market entry
2
What Happened?
• Gore supporters have preferences
– Gore > Remand > Bush
• First round vote between Remand and Gore
– Gore supporters prefer Gore
– But a vote for Gore is in effect a vote for Bush!
• So Gore supporters vote for remand.
– Guarantee themselves second best choice
•
30",0.0,0.1075,1.0,0.0019,300,3,mock,recursive,hybrid,heuristic,hybrid+rerank:heuristic,30,65,True
local,What is the prisoner's dilemma?,"The prisoner's dilemma is a game where mutual cooperation is better than mutual defection, but each player has individual incentive to defect.","hat induces player 2 to play t
• maximize Σs ps u1(s, t)
• subject to
for any t’, Σs ps u2(s, t) ≥ Σs ps u2(s, t’)
Σs ps = 1
• (May be infeasible, e.g., if t is strictly dominated)
• Pick the t that is best for player 1
Review
• Understanding the outcomes of games
• Sometimes easy
– Dominant strategies
• Sometimes more challenging
– “I know that you know …”
• What if a game is sequential?
– Market entry
2
ment and then chooses a
column
• What is the optimal strategy for player 1?
• What if 1 can commit to a mixed strategy?",0.0,0.1364,1.0,0.0019,300,3,mock,recursive,hybrid,heuristic,hybrid+rerank:heuristic,30,65,True
local,What does backward induction achieve in sequential games?,Backward induction solves sequential games by working backwards from the end to find the subgame perfect Nash equilibrium.,"Review
• Understanding the outcomes of games
• Sometimes easy
– Dominant strategies
• Sometimes more challenging
– “I know that you know …”
• What if a game is sequential?
– Market entry
2
Auction theory in practice
Lecture 2
Esther David
Sequential Move Games
Partially based on:
Mike Shor slides for Game Theory & Business Strategy
Robert Marks, NSW
1
Sequential Rationality
COMMANDMENT
Look forward and reason back.
Anticipate what your rivals will do
tomorrow
in response to your actions
today
33",0.0,0.093,1.0,0.0018,300,3,mock,recursive,hybrid,heuristic,hybrid+rerank:heuristic,30,65,True
local,What is a pure strategy?,A pure strategy is a strategy where a player chooses a single action with certainty.,"ment and then chooses a
column
• What is the optimal strategy for player 1?
• What if 1 can commit to a mixed strategy?
Commitment as an
extensive-form game
Player 1
Player 2
Player 2
2, 1
4, 0
1, 0
3, 1
• For the case of committing to a pure strategy:
Up
Down
Left
Left
Right
Right
) game tree, together with the
remainder of the game after that node is reached, is called a subgame
•
A strategy profile is a subgame perfect equilibrium if it is an equilibrium
for every subgame
LR
3, 2 1, 0
3, 2 0, 1
*L
*R
*L
*R
1, 0
0, 1
**
*L
*R
• (RR, LL) and (LR, LR) are not subgame",0.0,0.175,1.0,0.0019,300,3,mock,recursive,hybrid,heuristic,hybrid+rerank:heuristic,30,65,True
local,What is a mixed strategy?,A mixed strategy is a probability distribution over available actions that a player uses to randomize their choice.,"ment and then chooses a
column
• What is the optimal strategy for player 1?
• What if 1 can commit to a mixed strategy?
) game tree, together with the
remainder of the game after that node is reached, is called a subgame
•
A strategy profile is a subgame perfect equilibrium if it is an equilibrium
for every subgame
LR
3, 2 1, 0
3, 2 0, 1
*L
*R
*L
*R
1, 0
0, 1
**
*L
*R
• (RR, LL) and (LR, LR) are not subgame
What Happened?
• Gore supporters have preferences
– Gore > Remand > Bush
• First round vote between Remand and Gore
– Gore supporters prefer Gore
– But a vote for Gore is in effect a vote for Bush!
• So Gore supporters vote for remand.
– Guarantee themselves second best choice
•
30",0.0,0.1429,1.0,0.0019,300,3,mock,recursive,hybrid,heuristic,hybrid+rerank:heuristic,30,65,True
local,What is the difference between cooperative and non-cooperative games?,"Cooperative games allow players to form binding agreements and coalitions, while non-cooperative games do not allow such agreements.","Review
• Understanding the outcomes of games
• Sometimes easy
– Dominant strategies
• Sometimes more challenging
– “I know that you know …”
• What if a game is sequential?
– Market entry
2
What Happened?
• Gore supporters have preferences
– Gore > Remand > Bush
• First round vote between Remand and Gore
– Gore supporters prefer Gore
– But a vote for Gore is in effect a vote for Bush!
• So Gore supporters vote for remand.
– Guarantee themselves second best choice
•
30
Subgame perfection and
imperfect information
Player 1
Player 2
Player 2
1, -1
-1, 1
-1, 1
1, -1
• How should we extend the notion of subgame perfection
to games of imperfect information?
•
We cannot expect Player 2 to play Right after Player 1 plays Left, and",0.0,0.0638,1.0,0.0019,300,3,mock,recursive,hybrid,heuristic,hybrid+rerank:heuristic,30,65,True
